unix;low;high;open;close;volume;date
1437436800;253.31;260.03;258.6;253.72;372.56023391;2015-07-21 02:00:00;None
1437523200;252.0;255.63;253.45;254.11;256.86806033;2015-07-22 02:00:00;None
1437609600;251.47;255.31;254.55;252.47;273.57825061;2015-07-23 02:00:00;None
1437696000;251.8;265.49;252.01;263.7;318.02509712;2015-07-24 02:00:00;None
1437782400;261.65;265.88;263.05;264.03;140.47079449;2015-07-25 02:00:00;None
1437868800;262.77;268.06;264.01;267.0;161.1836123;2015-07-26 02:00:00;None
1437955200;262.07;267.61;267.19;265.39;248.59277429;2015-07-27 02:00:00;None
1438041600;265.98;268.47;266.61;267.03;126.96956717;2015-07-28 02:00:00;None
1438128000;262.37;268.56;267.73;265.21;259.63207828;2015-07-29 02:00:00;None
1438214400;262.1;266.49;265.21;263.4;216.60504801;2015-07-30 02:00:00;None
1438300800;260.4;264.95;263.42;261.52;213.25091398;2015-07-31 02:00:00;None
1438387200;252.34;264.3;261.27;258.08;191.85503189;2015-08-01 02:00:00;None
1438473600;255.68;258.19;257.37;258.06;88.6410784;2015-08-02 02:00:00;None
1438560000;256.37;264.07;258.06;257.51;151.63214;2015-08-03 02:00:00;None
1438646400;257.13;262.06;257.5;261.8;620.08870875;2015-08-04 02:00:00;None
1438732800;257.72;261.47;261.38;258.11;287.4330286;2015-08-05 02:00:00;None
1438819200;255.0;264.23;258.12;255.72;286.82045;2015-08-06 02:00:00;None
1438905600;253.41;258.15;255.17;255.69;230.76836668;2015-08-07 02:00:00;None
1438992000;245.12;258.0;256.02;245.13;297.47154;2015-08-08 02:00:00;None
1439078400;240.13;246.66;245.13;244.24;140.77756575;2015-08-09 02:00:00;None
1439164800;241.32;257.0;244.69;242.57;282.91104815;2015-08-10 02:00:00;None
1439251200;240.19;254.84;242.32;248.58;306.65196295;2015-08-11 02:00:00;None
1439337600;241.56;248.45;248.24;243.44;488.55549093;2015-08-12 02:00:00;None
1439424000;239.94;244.57;243.69;242.03;378.6446447;2015-08-13 02:00:00;None
1439510400;238.19;244.91;241.95;241.14;196.8465;2015-08-14 02:00:00;None
1439596800;241.03;244.64;243.21;241.44;247.42584;2015-08-15 02:00:00;None
1439683200;234.39;242.85;241.31;236.99;136.42095858;2015-08-16 02:00:00;None
1439769600;233.97;238.89;236.61;235.27;194.85626855;2015-08-17 02:00:00;None
1439856000;230.38;237.4;235.0;231.53;297.13738065;2015-08-18 02:00:00;None
1439942400;202.6;262.65;230.05;207.91;519.01135182;2015-08-19 02:00:00;None
1440028800;207.93;216.92;207.93;209.75;677.02593565;2015-08-20 02:00:00;None
1440115200;203.91;216.29;209.78;204.44;486.62254207;2015-08-21 02:00:00;None
1440201600;196.15;206.7;204.76;203.0;354.76889375;2015-08-22 02:00:00;None
1440288000;198.7;204.26;202.98;201.76;718.81126972;2015-08-23 02:00:00;None
1440374400;185.27;202.64;201.64;186.98;954.63845179;2015-08-24 02:00:00;None
1440460800;175.43;200.44;185.34;196.06;893.53187598;2015-08-25 02:00:00;None
1440547200;193.51;203.65;196.57;199.0;864.21790805;2015-08-26 02:00:00;None
