unix;low;high;open;close;volume;date
1520294400;651.5;691.27;691.27;658.18;6191.80102437;2018-03-06 01:00:00
1520380800;585.2;664.34;658.19;608;12928.14198014;2018-03-07 01:00:00
1520467200;561;632.78;608.1;570.57;9215.18956825;2018-03-08 01:00:00
1520553600;520;593.62;568.93;590.03;14620.74405769;2018-03-09 01:00:00
1520640000;551;609.5;590.98;556.24;6754.26127717;2018-03-10 01:00:00
1520726400;542;595.7;556.22;583.35;6252.48036311;2018-03-11 01:00:00
1520812800;551.71;603.09;583.43;565.7;5986.1487326;2018-03-12 01:00:00
1520899200;551.3;578;565.69;557.46;4289.86158735;2018-03-13 01:00:00
1520985600;475;565.18;557.48;496.86;16609.96751412;2018-03-14 01:00:00
1521072000;463.57;505.66;496.72;495.83;10082.35032204;2018-03-15 01:00:00
1521158400;475.83;510;495.83;490.3;6134.78355189;2018-03-16 01:00:00
1521244800;438.77;495.99;490.2;446.08;9757.23863115;2018-03-17 01:00:00
1521331200;369.8;459.39;447.49;439.46;42299.96708778;2018-03-18 01:00:00
1521417600;421.02;459;439.46;448.93;15830.95135362;2018-03-19 01:00:00
1521504000;419;464.87;448.96;456;11909.68613463;2018-03-20 01:00:00
1521590400;445.01;486;456;454.48;11157.05057013;2018-03-21 01:00:00
1521676800;422.12;466.47;454.37;437.69;7280.78646878;2018-03-22 01:00:00
1521763200;412.42;438.99;437.68;438.94;7395.5898729;2018-03-23 01:00:00
1521849600;422.54;440.37;438.94;422.54;3411.65861905;2018-03-24 01:00:00
1521936000;418;434.96;422.51;424.72;3243.8075815;2018-03-25 01:00:00
1522022400;376.6;426.62;424.71;392.37;15186.34679545;2018-03-26 02:00:00
1522108800;360.28;395.21;392.61;361.59;10632.24123819;2018-03-27 02:00:00
1522195200;356.71;375.2;361.56;362.96;7000.2221057;2018-03-28 02:00:00
1522281600;308.77;363.99;363.2;311.2;25581.27950262;2018-03-29 02:00:00
1522368000;296.04;334.36;311.2;319.2;17473.62494956;2018-03-30 02:00:00
1522454400;316.06;354;319.2;320.76;10220.39501423;2018-03-31 02:00:00
1522540800;291.06;323.61;320.77;307.86;13150.09894429;2018-04-01 02:00:00
1522627200;304.32;319.97;307.65;311.96;5585.65108337;2018-04-02 02:00:00
1522713600;309.02;344.38;312.04;339.48;12035.65917874;2018-04-03 02:00:00
1522800000;302.23;339.55;339.55;308.88;12380.43788672;2018-04-04 02:00:00
1522886400;300.2;317.31;308.87;311.65;6176.07480221;2018-04-05 02:00:00
1522972800;297.15;314;311.64;302.02;7923.14818368;2018-04-06 02:00:00
1523059200;302;320;302.01;313.45;3612.60277966;2018-04-07 02:00:00
1523145600;313.46;328.99;313.46;325.5;3839.63094481;2018-04-08 02:00:00
1523232000;315;352.61;325.5;323.3;15280.66186034;2018-04-09 02:00:00
1523318400;319;338.6;323.44;335.72;5921.49579191;2018-04-10 02:00:00
1523404800;331.96;349.8;335.73;347.2;6707.78715107;2018-04-11 02:00:00
1523491200;335;403;348.02;401.29;28296.73054319;2018-04-12 02:00:00
1523577600;391.82;429.69;401.29;399.2;24178.10874986;2018-04-13 02:00:00
1523664000;395;417.8;399.99;409.1;7245.5094204;2018-04-14 02:00:00
1523750400;408.79;433.8;408.92;432.75;7507.20949117;2018-04-15 02:00:00
1523836800;403;436.97;433.01;412.81;9959.50376321;2018-04-16 02:00:00
1523923200;405;420.99;412.89;406.77;5504.56805534;2018-04-17 02:00:00
1524009600;406.66;424.87;406.76;423.96;5708.56349219;2018-04-18 02:00:00
1524096000;419.06;462;423.97;460.38;10331.50490789;2018-04-19 02:00:00
1524182400;451.8;506.88;460;503.52;12242.69247717;2018-04-20 02:00:00
1524268800;466;510;503.52;491.6;12699.90168137;2018-04-21 02:00:00
1524355200;483;523.45;491.87;504.99;9760.39904949;2018-04-22 02:00:00
1524441600;504;529.59;505.01;526.98;8911.03144898;2018-04-23 02:00:00
1524528000;526.97;584;526.98;576.63;18667.03108597;2018-04-24 02:00:00
1524614400;489.12;576.85;576.6;507.55;38260.73006684;2018-04-25 02:00:00
1524700800;493;552.34;507.82;547.46;15302.82570404;2018-04-26 02:00:00
1524787200;527.43;570;547.6;529.79;12886.64876729;2018-04-27 02:00:00
1524873600;528;569.61;529.79;562.96;6175.06128377;2018-04-28 02:00:00
1524960000;550.1;574.9;563;569.2;6150.58822022;2018-04-29 02:00:00
1525046400;546.95;572.49;569.21;554.9;8234.32359299;2018-04-30 02:00:00
1525132800;519.96;561.3;554.9;559.16;10669.23372054;2018-05-01 02:00:00
1525219200;552.14;574.9;559.36;573.79;8635.48155252;2018-05-02 02:00:00
1525305600;572.34;655;573.79;648.75;21431.2342077;2018-05-03 02:00:00
1525392000;632.63;674;648.51;653.49;17076.93574441;2018-05-04 02:00:00
1525478400;650.74;687.89;653.49;679.66;10026.63874262;2018-05-05 02:00:00
1525564800;624;692.49;679.66;659.2;13998.10567379;2018-05-06 02:00:00
1525651200;585;661.53;659.2;631.39;25315.66882083;2018-05-07 02:00:00
1525737600;605.51;651.5;631.21;630.52;11366.57344368;2018-05-08 02:00:00
1525824000;601;639.06;630.6;633;8802.87766552;2018-05-09 02:00:00
1525910400;608.28;646.9;632.92;608.5;9661.60439202;2018-05-10 02:00:00
1525996800;550.51;618.03;608.5;566.49;22563.68704984;2018-05-11 02:00:00
1526083200;535;578;568.04;572.44;11664.9509518;2018-05-12 02:00:00
1526169600;563;619.9;572.18;612.37;8114.10870769;2018-05-13 02:00:00
1526256000;573.3;625;612;611;16884.41829305;2018-05-14 02:00:00
1526342400;588;619.39;610;598.01;8570.21732888;2018-05-15 02:00:00
1526428800;575.1;607.49;598;598.99;6962.7991334;2018-05-16 02:00:00
1526515200;562.5;606.58;599;569.44;7765.80685649;2018-05-17 02:00:00
1526601600;558;589.11;568;589.1;7307.60191556;2018-05-18 02:00:00
1526688000;580;609;589.09;590.9;5183.56805781;2018-05-19 02:00:00
1526774400;585.31;613.1;591;608.33;4238.62719086;2018-05-20 02:00:00
1526860800;586.16;613.11;608.49;593.12;4782.768771;2018-05-21 02:00:00
1526947200;542.87;593;592.43;544.64;8618.42173137;2018-05-22 02:00:00
1527033600;480.34;551.7;545.38;495;20216.76529764;2018-05-23 02:00:00
1527120000;465;521.58;494.69;512.91;13825.86228162;2018-05-24 02:00:00
1527206400;490.25;528.45;513.73;501.09;7228.64528717;2018-05-25 02:00:00
1527292800;496.01;519;501.09;502.41;3584.37841381;2018-05-26 02:00:00
1527379200;477.74;509.02;502.4;488.67;5276.73907623;2018-05-27 02:00:00
1527465600;435.45;499.01;488.8;439.81;11159.14861921;2018-05-28 02:00:00
1527552000;440.22;496.72;440.22;490.23;11135.32660022;2018-05-29 02:00:00
1527638400;464.5;507;490.65;478.85;7817.30954363;2018-05-30 02:00:00
1527724800;473.43;502;478.85;493.78;6735.49360175;2018-05-31 02:00:00
1527811200;482;504.63;493.81;496.68;4619.17589456;2018-06-01 02:00:00
1527897600;492.71;514;496.69;506.61;3695.10459265;2018-06-02 02:00:00
1527984000;506.55;539.94;506.55;530.68;5480.22079355;2018-06-03 02:00:00
1528070400;496.22;536.13;530.86;506.54;6612.84077478;2018-06-04 02:00:00
1528156800;493.33;524.49;506.54;518.76;5688.07087493;2018-06-05 02:00:00
1528243200;505.7;520.99;518.9;514.99;4803.34644571;2018-06-06 02:00:00
1528329600;510;522;514.96;513;4330.49152516;2018-06-07 02:00:00
1528416000;505.73;515.97;512.8;509;2658.13878775;2018-06-08 02:00:00
1528502400;506.39;515.6;508.99;506.39;1419.68484009;2018-06-09 02:00:00
1528588800;431;506.39;506.39;446.98;14166.59987428;2018-06-10 02:00:00
1528675200;435;456.49;447;452.89;6898.45194537;2018-06-11 02:00:00
1528761600;413.27;458.51;452.8;421;10540.44651943;2018-06-12 02:00:00
1528848000;383;427.52;421.04;403.48;14948.4292248;2018-06-13 02:00:00
1528934400;396.46;454.98;404;448.98;14209.23428361;2018-06-14 02:00:00
1529020800;417.22;450.05;449.28;420.49;7629.30474994;2018-06-15 02:00:00
1529107200;418.51;434.41;420.5;429.67;2897.97004407;2018-06-16 02:00:00
1529193600;425.54;437.62;429.66;427.7;3067.77520044;2018-06-17 02:00:00
1529280000;421.03;452.02;428;444.84;5662.01766925;2018-06-18 02:00:00
1529366400;443.37;474.6;444.87;464.8;6916.28400123;2018-06-19 02:00:00
1529452800;447.49;468.9;464.79;462.24;5353.67626885;2018-06-20 02:00:00
1529539200;450.59;470.58;462.25;452.36;5229.660456;2018-06-21 02:00:00
1529625600;386.01;453.61;453.19;397.71;14438.28473222;2018-06-22 02:00:00
