unix,low,high,open,close,volume,date
1495411200;21.32;22.12;22.12;21.32;0.89811636;2017-05-22 02:00:00;None
1495497600;26.16;26.16;26.16;26.16;0.00076261;2017-05-23 02:00:00;None
1495584000;30.44;30.44;30.44;30.44;25.0;2017-05-24 02:00:00;None
1495670400;26.2;26.28;26.28;26.2;12.5;2017-05-25 02:00:00;None
1496102400;21.6;22.71;22.69;21.92;125.4776221;2017-05-30 02:00:00;None
1496188800;21.5;23.43;22.1;23.07;311.57146596;2017-05-31 02:00:00;None
1496275200;23.0;26.67;23.39;24.1;5278.43689307;2017-06-01 02:00:00;None
1496361600;23.93;25.61;24.32;24.99;2154.55293347;2017-06-02 02:00:00;None
1496448000;23.92;25.21;24.94;24.51;480.70179968;2017-06-03 02:00:00;None
1496534400;23.77;24.79;24.26;24.3;1016.73519517;2017-06-04 02:00:00;None
1496620800;24.96;28.35;24.96;27.2;2488.58265653;2017-06-05 02:00:00;None
1496707200;24.88;27.82;26.81;26.78;2738.60134459;2017-06-06 02:00:00;None
1496793600;24.91;27.24;26.95;25.33;1279.47232643;2017-06-07 02:00:00;None
1496880000;24.94;27.27;25.11;27.0;1372.06060811;2017-06-08 02:00:00;None
1496966400;26.5;27.34;27.0;26.5;1170.78589322;2017-06-09 02:00:00;None
1497052800;26.11;26.94;26.51;26.76;1206.02855442;2017-06-10 02:00:00;None
1497139200;26.47;31.69;26.87;30.29;5780.57328072;2017-06-11 02:00:00;None
1497225600;23.84;30.21;30.2;25.73;5457.79708815;2017-06-12 02:00:00;None
1497312000;25.7;27.24;26.18;26.74;1913.2397414;2017-06-13 02:00:00;None
1497398400;24.8;28.38;26.98;25.68;3709.30609184;2017-06-14 02:00:00;None
1497484800;22.0;26.44;25.93;26.06;10039.45869713;2017-06-15 02:00:00;None
1497571200;25.0;30.35;25.76;30.01;8487.2211859;2017-06-16 02:00:00;None
1497657600;30.3;43.6;30.3;41.11;28759.90411735;2017-06-17 02:00:00;None
1497744000;35.1;41.11;41.1;38.71;9846.03016355;2017-06-18 02:00:00;None
1497830400;38.0;44.9;39.0;42.69;13811.04164675;2017-06-19 02:00:00;None
1497916800;38.9;43.18;42.74;40.75;10872.32156847;2017-06-20 02:00:00;None
1498003200;37.72;41.39;40.65;38.48;8095.76653236;2017-06-21 02:00:00;None
1498089600;38.52;42.91;39.04;41.16;4312.91969551;2017-06-22 02:00:00;None
1498176000;41.0;42.0;41.28;41.5;1995.47854658;2017-06-23 02:00:00;None
1498262400;37.5;41.5;41.5;38.13;2504.64779251;2017-06-24 02:00:00;None
1498348800;34.5;39.44;38.0;36.26;2750.99054906;2017-06-25 02:00:00;None
1498435200;30.02;48.0;36.49;34.5;12700.72370693;2017-06-26 02:00:00;None
1498521600;30.14;35.76;34.0;35.76;5629.25843258;2017-06-27 02:00:00;None
1498608000;33.65;38.25;35.86;37.08;6441.06797764;2017-06-28 02:00:00;None
1498694400;35.0;37.19;37.07;35.5;1987.46771672;2017-06-29 02:00:00;None
1498780800;33.99;36.5;35.49;33.99;2007.48287519;2017-06-30 02:00:00;None
1498867200;32.4;34.76;34.68;33.78;1480.00452626;2017-07-01 02:00:00;None
1498953600;32.74;36.66;33.78;36.32;2064.07745347;2017-07-02 02:00:00;None
1499040000;35.78;41.72;36.13;40.14;12052.77197964;2017-07-03 02:00:00;None
1499126400;40.15;49.2;40.15;48.7;14789.0001882;2017-07-04 02:00:00;None
1499212800;43.02;50.0;48.89;47.16;14144.92720159;2017-07-05 02:00:00;None
1499299200;43.87;46.95;46.95;45.24;1967.72346604;2017-07-06 02:00:00;None
1499385600;39.22;45.14;45.14;41.38;6976.73643264;2017-07-07 02:00:00;None
1499472000;39.2;45.5;40.47;45.3;6972.21978459;2017-07-08 02:00:00;None
1499558400;42.64;45.8;45.36;42.92;2470.11429878;2017-07-09 02:00:00;None
1499644800;37.0;44.18;42.92;39.31;9635.41282192;2017-07-10 02:00:00;None
1499731200;36.0;41.0;39.4;38.48;9374.05754539;2017-07-11 02:00:00;None
1499817600;37.2;42.66;38.78;40.99;8628.52803641;2017-07-12 02:00:00;None
1499904000;39.0;41.52;40.99;39.29;1825.00143903;2017-07-13 02:00:00;None
1499990400;35.0;40.6;39.81;37.19;8918.86031589;2017-07-14 02:00:00;None
1500076800;32.72;38.58;37.5;33.6;6584.81164766;2017-07-15 02:00:00;None
1500163200;30.31;36.25;33.6;35.97;7710.99209407;2017-07-16 02:00:00;None
1500249600;31.1;37.87;35.33;37.29;10517.53229143;2017-07-17 02:00:00;None
1500336000;35.67;39.31;36.83;37.95;6352.09817336;2017-07-18 02:00:00;None
1500422400;34.35;38.39;37.36;34.51;5778.55231866;2017-07-19 02:00:00;None
1500508800;35.1;38.95;35.11;38.54;8966.68652869;2017-07-20 02:00:00;None
1500595200;37.87;41.39;38.82;39.0;6049.08111542;2017-07-21 02:00:00;None
1500681600;38.97;40.63;39.2;40.62;1925.4951327;2017-07-22 02:00:00;None
1500768000;38.12;40.31;40.31;38.94;3326.64041188;2017-07-23 02:00:00;None
1500854400;38.4;39.48;38.75;38.8;588.65107823;2017-07-24 02:00:00;None
