DateTime,Aggregated Exchanges,Binance,Bitfinex,Bitstamp,Coinbase,Gemini,Huobi,Kraken,Luno,Okex,Poloniex,Price
2013-06-25T00:00:00.000Z,-0.16536126,,,,1.43754474,,,,5.502094,,-7.105,104.99
2013-06-26T00:00:00.000Z,-2.10504544,,,,-0.72704944,,,,-1.817996,,0.44,103.66
2013-06-27T00:00:00.000Z,24.8909767,,,,0.5609767,,,,,,24.33,102.03
2013-06-28T00:00:00.000Z,-28.58930759,,,,0.06399041,,,,-3.683298,,-24.97,97.02
2013-06-29T00:00:00.000Z,6.99416714,,,,1.97460214,,,,5.639565,,-0.62,96.72
2013-06-30T00:00:00.000Z,58.36382255,,,,42.81085817,,,,-1.64703562,,17.2,95.99
2013-07-01T00:00:00.000Z,-15.70008691,,,,-43.82552091,,,,5.885634,,22.2398,92.1
2013-07-02T00:00:00.000Z,7.34384611,,,,0.09210949,,,,-9.88826338,,17.14,90.04
2013-07-03T00:00:00.000Z,-4.05109464,,,,0.75692136,,,,9.431984,,-14.24,83.6
2013-07-04T00:00:00.000Z,-47.64721693,,,,0.26750307,,,,-5.57492,,-42.3398,78.13
2013-07-05T00:00:00.000Z,15.70725919,,,,-0.17616181,,,,15.383421,,0.5,73.01
2013-07-06T00:00:00.000Z,-20.04276356,,,,-0.30637856,,,,-19.236385,,-0.5,70.91
2013-07-07T00:00:00.000Z,6.62119469,,,,1.51461069,,,,5.106584,,,71.8
2013-07-08T00:00:00.000Z,2.67357351,,,,-1.97706949,,,,4.650643,,,76.23
2013-07-09T00:00:00.000Z,7.90767564,,,,1.61701864,,,,1.990657,,4.3,75.41
2013-07-10T00:00:00.000Z,-10.72275906,,,,-0.97097506,,,,-9.751784,,,82.69
2013-07-11T00:00:00.000Z,2.749074,,,,0.332544,,,,2.41653,,,87.85
2013-07-12T00:00:00.000Z,3.95402399,,,,-0.09970201,,,,4.053726,,,96.09
2013-07-13T00:00:00.000Z,1.90213215,,,,1.30888815,,,,0.593244,,,93.04
2013-07-14T00:00:00.000Z,-1.03706763,,,,-0.84686763,,,,-0.1902,,,95.93
2013-07-15T00:00:00.000Z,0.07114338,,,,0.25464338,,,,-0.1835,,,97.53
2013-07-16T00:00:00.000Z,-2.23981101,,,,-0.90901101,,,,-1.3308,,,98.37
2013-07-17T00:00:00.000Z,-7.78400348,,,,-0.68400348,,,,-7.1,,,98.09
2013-07-18T00:00:00.000Z,3.45801253,,,,-0.13690147,,,,3.594914,,,92.5
2013-07-19T00:00:00.000Z,13.09542963,,,,13.22357363,,,,-3.418954,,3.29081,91.4
2013-07-20T00:00:00.000Z,9.70544141,,,,4.00410341,,,,3.550838,,2.1505,91.19
2013-07-21T00:00:00.000Z,-13.08732965,,,,-16.58732965,,,,1.35,,2.15,90
2013-07-22T00:00:00.000Z,-0.88161765,,,,-2.63957065,,,,1.757953,,,90.9
2013-07-23T00:00:00.000Z,4.25877083,,,,0.52275883,,,,3.736012,,,94.37
2013-07-24T00:00:00.000Z,1.56266812,,,,0.45930112,,,,-3.696633,,4.8,94.15
2013-07-25T00:00:00.000Z,-2.13703334,,,,-1.27290334,,,,-5.13413,,4.27,95.53
2013-07-26T00:00:00.000Z,16.80616636,,,,9.43392236,,,,10.022244,,-2.65,96.74
2013-07-27T00:00:00.000Z,-14.08797904,,,,-9.19854904,,,,-4.88943,,,95
2013-07-28T00:00:00.000Z,11.35873004,,,,8.82052604,,,,2.538204,,,97.29
2013-07-29T00:00:00.000Z,-19.97053605,,,,-9.79072605,,,,-2.619,,-7.56081,100.65
2013-07-30T00:00:00.000Z,9.78897128,,,,5.43117128,,,,2.8578,,1.5,104.23
2013-07-31T00:00:00.000Z,-11.47171555,,,,-5.52221755,,,,-5.949498,,,107.6
2013-08-01T00:00:00.000Z,31.84806408,,,,24.84459408,,,,8.50347,,-1.5,105.5
2013-08-02T00:00:00.000Z,-32.10179852,,,,-24.33168305,,,,-9.921421,,2.15130553,104.6
2013-08-03T00:00:00.000Z,-1.33647315,,,,-0.94410415,,,,-2.542369,,2.15,103.95
2013-08-04T00:00:00.000Z,8.12752279,,,,2.11496079,,,,6.012562,,,104.75
2013-08-05T00:00:00.000Z,5.71397754,,,,-1.28602246,,,,7,,,106.39
2013-08-06T00:00:00.000Z,-8.47193957,,,,2.03162243,,,,-10.503562,,,106.31
2013-08-07T00:00:00.000Z,5.16411341,,,,4.67311341,,,,0.491,,,106.09
2013-08-08T00:00:00.000Z,-1.99814656,,,,-3.29634103,,,,-3,,4.29819447,103.81
2013-08-09T00:00:00.000Z,16.68606479,,,,16.16629808,,,,0.518557,,0.00120971,103.87
2013-08-10T00:00:00.000Z,-8.72001072,,,,-14.35752772,,,,5.637517,,,103.14
2013-08-11T00:00:00.000Z,2.8809772,,,,1.4820922,,,,1.398885,,,103.95
2013-08-12T00:00:00.000Z,-8.78951674,,,,0.25549903,,,,-1.194959,,-7.85005677,105.81
2013-08-13T00:00:00.000Z,-7.57654265,,,,1.74853558,,,,2.174865,,-11.49994323,107.07
2013-08-14T00:00:00.000Z,-2.52844728,,,,1.09969472,,,,-5.778142,,2.15,111.5
2013-08-15T00:00:00.000Z,2.31136152,,,,0.49973023,,,,3.962841,,-2.15120971,111.05
2013-08-16T00:00:00.000Z,-1.28639815,,,,0.64273062,,,,-2.518901,,0.58977223,110.26
2013-08-17T00:00:00.000Z,4.08988751,,,,-0.06944949,,,,4.159337,,,111.12
2013-08-18T00:00:00.000Z,68.0499923,,,,67.62876885,,,,1.009954,,-0.58873055,113.35
2013-08-19T00:00:00.000Z,-70.25358258,,,,-67.34537158,,,,-2.908211,,,117.76
2013-08-20T00:00:00.000Z,-0.90049261,,,,-1.20367761,,,,0.303185,,,119.92
2013-08-21T00:00:00.000Z,33.24658626,,,,31.48702726,,,,1.759559,,,122.34
2013-08-22T00:00:00.000Z,-33.05580212,,,,-29.26931512,,,,-3.786487,,,122.52
2013-08-23T00:00:00.000Z,-1.93249374,,,,2.80373243,,,,-4.736956,,0.00072983,120.22
2013-08-24T00:00:00.000Z,1.20653932,,,,-2.07820568,,,,2.284745,,1,119.71
2013-08-25T00:00:00.000Z,15.2152054,,,,11.4827954,,,,3.73241,,,121.07
2013-08-26T00:00:00.000Z,-7.86132375,,,,-9.76490075,,,,1.753577,,0.15,121.45
2013-08-27T00:00:00.000Z,19.21705347,,,,22.12778547,,,,-2.910732,,,126.5
2013-08-28T00:00:00.000Z,14.92562172,,,,12.93739323,,,,3.14,,-1.15177151,129.87
2013-08-29T00:00:00.000Z,97.36614639,,,,103.34235639,,,,-5.97621,,,129.69
2013-08-30T00:00:00.000Z,75.28359853,,,,73.74470486,,,,1.537971,,0.00092267,135.66
2013-08-31T00:00:00.000Z,17.28244861,,,,20.59420961,,,,-3.311761,,,142.29
2013-09-01T00:00:00.000Z,-3.98367132,,,,-11.80236232,,,,7.818691,,,144.14
2013-09-02T00:00:00.000Z,-2.24677772,,,,1.98340528,,,,-4.230183,,,145.31
2013-09-03T00:00:00.000Z,-1.42498133,,,,0.08801867,,,,-1.513,,,145.56
2013-09-04T00:00:00.000Z,4.21831,,,,1.53928346,,,,2.67902654,,,137.95
2013-09-05T00:00:00.000Z,-3.42443894,,,,-1.4199044,,,,-2.00453454,,,132.6
2013-09-06T00:00:00.000Z,81.20987411,,,,83.16767012,,,,-1.95845,,0.00065399,127.95
2013-09-07T00:00:00.000Z,1.63345372,,,,0.33006972,,,,1.303384,,,126.14
2013-09-08T00:00:00.000Z,7.85037106,,,,2.36497006,,,,5.485401,,,126.97
2013-09-09T00:00:00.000Z,5.19300281,,,,-1.53209019,,,,6.725093,,,130.74
2013-09-10T00:00:00.000Z,2.33858194,,,,3.40500994,,,,-1.066428,,,133.7
2013-09-11T00:00:00.000Z,-15.39652637,,,,-2.11952637,,,,-13.277,,,136.7
2013-09-12T00:00:00.000Z,22.95317299,,,,9.51317299,,,,7.94,,5.5,141.51
2013-09-13T00:00:00.000Z,24.82124764,,,,22.91654668,,,,1.90425,,0.00045096,141.71
2013-09-14T00:00:00.000Z,-6.81156088,,,,2.24468912,,,,-9.05625,,,139.25
2013-09-15T00:00:00.000Z,2.49781039,,,,-2.38623261,,,,4.884043,,,138.02
2013-09-16T00:00:00.000Z,5.47037369,,,,-1.97514131,,,,7.445515,,,140.07
2013-09-17T00:00:00.000Z,-12.38282776,,,,0.94673024,,,,-13.329558,,,139.69
2013-09-18T00:00:00.000Z,23.4632244,,,,15.60525202,,,,7.86,,-0.00202762,140.51
2013-09-19T00:00:00.000Z,-19.07767777,,,,-12.46767777,,,,-6.61,,,136.17
2013-09-20T00:00:00.000Z,-9.27514411,,,,-8.32538675,,,,-1.25,,0.30024264,134.14
2013-09-21T00:00:00.000Z,4.697666,,,,-1.802334,,,,5,,1.5,134
2013-09-22T00:00:00.000Z,-0.33906827,,,,2.80708573,,,,-3.146154,,,133
2013-09-23T00:00:00.000Z,14.74403245,,,,-0.40262155,,,,15.146654,,,133.5
2013-09-24T00:00:00.000Z,-1.14331723,,,,7.25491377,,,,-8.398231,,,134.55
2013-09-25T00:00:00.000Z,106.67341906,,,,110.27588806,,,,-3.602469,,,136.35
2013-09-26T00:00:00.000Z,12.43883127,,,,21.82275606,,,,-2.08368215,,-7.30024264,136.86
2013-09-27T00:00:00.000Z,42.22250687,,,,31.96412626,,,,10.25779015,,0.00059046,138.75
2013-09-28T00:00:00.000Z,66.31353045,,,,67.32978245,,,,-1.016252,,,140.51
2013-09-29T00:00:00.000Z,21.57744904,,,,25.76980035,,,,-4.19235131,,,143.59
2013-09-30T00:00:00.000Z,-111.70263011,,,,-107.32711911,,,,-4.375511,,,141.97
2013-10-01T00:00:00.000Z,-123.33143397,,,,-120.77720297,,,,-2.554231,,,141.93
2013-10-02T00:00:00.000Z,-2.58150542,,,,-1.54489873,,,,-1.03660669,,,125.82
2013-10-03T00:00:00.000Z,7.67266254,,,,0.83856554,,,,6.834097,,,126.05
2013-10-04T00:00:00.000Z,-1.24475818,,,,1.58888007,,,,-2.834097,,0.00045875,134.15
2013-10-05T00:00:00.000Z,-5.12499231,,,,-1.12499231,,,,-4,,,136.65
2013-10-06T00:00:00.000Z,10.65862789,,,,2.73862789,,,,7.92,,,136.05
