Date;Risk
2012-05-14;18.8
2012-05-21;16.457142857143
2012-05-28;15.271428571429
2012-06-04;15.9
2012-06-11;18.671428571429
2012-06-18;20.914285714286
2012-06-25;21.685714285714
2012-07-02;23.057142857143
2012-07-09;26.014285714286
2012-07-16;30.642857142857
2012-07-23;31.014285714286
2012-07-30;35.1
2012-08-06;36.3
2012-08-13;38.314285714286
2012-08-20;36.442857142857
2012-08-27;36.342857142857
2012-09-03;36.914285714286
2012-09-10;36.371428571429
2012-09-17;37.457142857143
2012-09-24;36.085714285714
2012-10-01;36.857142857143
2012-10-08;36.5
2012-10-15;35.785714285714
2012-10-22;34.842857142857
2012-10-29;31.928571428571
2012-11-05;29.128571428571
2012-11-12;27.628571428571
2012-11-19;27.071428571429
2012-11-26;27.371428571429
2012-12-03;26.371428571429
2012-12-10;25.785714285714
2012-12-17;25.514285714286
2012-12-24;25.057142857143
2012-12-31;22.871428571429
2013-01-07;20.428571428571
2013-01-14;22.157142857143
2013-01-21;26.728571428571
2013-01-28;31.571428571429
2013-02-04;35.128571428571
2013-02-11;39.928571428571
2013-02-18;42.814285714286
2013-02-25;44.042857142857
2013-03-04;50.671428571429
2013-03-11;52.785714285714
2013-03-18;60.771428571429
2013-03-25;65.742857142857
2013-04-01;95.6
2013-04-08;99.9
2013-04-15;70.642857142857
2013-04-22;95.7
2013-04-29;70.857142857143
2013-05-06;70
2013-05-13;69.942857142857
2013-05-20;70.1
2013-05-27;70.271428571429
2013-06-03;69.185714285714
2013-06-10;66.357142857143
2013-06-17;64.8
2013-06-24;61.871428571429
2013-07-01;53.885714285714
2013-07-08;53.885714285714
2013-07-15;52.914285714286
2013-07-22;49.842857142857
2013-07-29;47.771428571429
2013-08-05;43.114285714286
2013-08-12;38.671428571429
2013-08-19;35.871428571429
2013-08-26;37.914285714286
2013-09-02;37.414285714286
2013-09-09;36.185714285714
2013-09-16;36.828571428571
2013-09-23;36.185714285714
2013-09-30;34.357142857143
2013-10-07;36.028571428571
2013-10-14;41.457142857143
2013-10-21;49.271428571429
2013-10-28;51.914285714286
2013-11-04;62.671428571429
2013-11-11;73.328571428571
2013-11-18;88.642857142857
2013-11-25;98.6
2013-12-02;100
2013-12-09;97.1
2013-12-16;85.657142857143
2013-12-23;86.414285714286
2013-12-30;89.785714285714
2014-01-06;90.7
2014-01-13;89.485714285714
2014-01-20;87.857142857143
2014-01-27;87.042857142857
2014-02-03;84.328571428571
2014-02-10;78.442857142857
2014-02-17;71.757142857143
2014-02-24;75.128571428571
2014-03-03;77.728571428571
2014-03-10;75.571428571429
2014-03-17;72.542857142857
2014-03-24;66.142857142857
2014-03-31;56.942857142857
2014-04-07;46.614285714286
2014-04-14;49.328571428571
2014-04-21;46.071428571429
2014-04-28;42.442857142857
2014-05-05;42.742857142857
2014-05-12;41.814285714286
2014-05-19;46.942857142857
2014-05-26;53.542857142857
2014-06-02;57.328571428571
2014-06-09;54.071428571429
2014-06-16;52.942857142857
2014-06-23;52.614285714286
2014-06-30;57.142857142857
2014-07-07;58.414285714286
2014-07-14;54.557142857143
2014-07-21;52.885714285714
2014-07-28;50.814285714286
2014-08-04;49.814285714286
2014-08-11;45.842857142857
2014-08-18;43.028571428571
2014-08-25;42.457142857143
2014-09-01;40.071428571429
2014-09-08;38.914285714286
2014-09-15;34.371428571429
2014-09-22;31.071428571429
2014-09-29;25.9
2014-10-06;24.857142857143
2014-10-13;26.671428571429
2014-10-20;23.514285714286
2014-10-27;19.6
2014-11-03;19.7
2014-11-10;24.628571428571
2014-11-17;22.614285714286
2014-11-24;23
2014-12-01;23.3
2014-12-08;20.571428571429
2014-12-15;17.671428571429
2014-12-22;17.542857142857
2014-12-29;14.557142857143
2015-01-05;12.142857142857
2015-01-12;0.9
2015-01-19;4.1
2015-01-26;7.2857142857143
2015-02-02;6.1
2015-02-09;7.6
2015-02-16;9.3428571428571
2015-02-23;11.357142857143
2015-03-02;15.628571428571
2015-03-09;17.571428571429
2015-03-16;15.428571428571
2015-03-23;13.9
2015-03-30;14.314285714286
2015-04-06;12.742857142857
2015-04-13;10.7
2015-04-20;11.5
2015-04-27;11.814285714286
2015-05-04;13.128571428571
